ID,TITLE,OVERAL RANK,MEAN SCORE
55742,Mahoutsukai no Yome Season 2 Part 2,846,7.91
57533,Youkai Gakkou no Sensei Hajimemashita!,2983,7.28
37430,Tensei shitara Slime Datta Ken,507,8.13
170,Slam Dunk,127,8.55
387,Haibane Renmei,718,7.98
392,Yuu☆Yuu☆Hakusho,168,8.46
457,Mushishi,77,8.65
2025,Darker than Black: Kuro no Keiyakusha,628,8.04
2159,Ookiku Furikabutte,914,7.87
2251,Baccano!,247,8.35
7674,Bakuman.,460,8.17
10721,Mawaru Penguindrum,811,7.92
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,691,8
16918,Gin no Saji,556,8.09
21603,Mekakucity Actors,4474,7.01
21743,Donten ni Warau,2174,7.46
22789,Barakamon,243,8.36
25839,Bonjour♪Koiaji Pâtisserie,9667,6.09
28999,Charlotte,1206,7.75
30230,Diamond no Ace: Second Season,291,8.3
32948,Fune wo Amu,1598,7.61
33018,Katsugeki/Touken Ranbu,5828,6.73
33337,ACCA: 13-ku Kansatsu-ka,1450,7.66
36864,Akkun to Kanojo,5380,6.82
37259,Hanebado!,5250,6.84
37965,Kaze ga Tsuyoku Fuiteiru,220,8.38
38080,Kono Oto Tomare!,784,7.94
44074,Shiguang Dailiren,55,8.72
49785,Fairy Tail: 100-nen Quest,1648,7.6
53912,Seiyuu Radio no Uraomote,4747,6.94
54724,Nige Jouzu no Wakagimi,1079,7.8
54865,Blue Lock vs. U-20 Japan,1819,7.55
54900,Wind Breaker,1248,7.73
55813,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,1112,7.79
55998,Momochi-san Chi no Ayakashi Ouji,7078,6.53
56038,Lazarus,3529,7.19
56285,Ninja Kamui,6724,6.59
56420,Haigakura,12200,5.58
56647,Ao no Miburo,6158,6.68
57031,Vampire Dormitory,8933,6.22
57334,Dandadan,164,8.47
57554,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,1155,7.77
57796,Touhai: Ura Rate Mahjong Touhairoku,6653,6.6
57947,Mayonaka Punch,2653,7.35
58059,Tsue to Tsurugi no Wistoria,949,7.86
59361,Kono Kaisha ni Suki na Hito ga Imasu,1958,7.52
60083,Kowloon Generic Romance,2573,7.37
60146,"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?",9196,6.17
40956,Enen no Shouboutai: Ni no Shou,999,7.83
59898,City The Animation,834,7.91
60285,Sakamoto Days Part 2,760,7.95
235,Meitantei Conan,447,8.18
1425,Lupin III: Part II,1147,7.77
59342,Jigoku Sensei Nube (2025),6550,6.62
59207,"Mikadono Sanshimai wa Angai, Choroi.",1427,7.67
604,Mahou no Stage Fancy Lala,3804,7.14
61322,Dr. Stone: Science Future Part 2,292,8.3
30,Shinseiki Evangelion,240,8.36
57433,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,358,8.24
5041,Guin Saga,3769,7.15
53512,Busu ni Hanataba wo.,5732,6.75
55830,Fate/strange Fake,,
57635,Kamonohashi Ron no Kindan Suiri 2nd Season,1606,7.61
59189,Sentai Daishikkaku 2nd Season,3994,7.1
51870,Pokemon de Manabi Asobu,12893,5.37
62373,Project Kabigon,19329,
243,Gravitation,4939,6.9
365,Fake,7242,6.5
437,Perfect Blue,125,8.55
553,Yami no Matsuei,4440,7.01
622,Natsu-iro no Sunadokei,7767,6.42
752,Osakana wa Ami no Naka,13843,4.79
850,Gakuen Heaven,7639,6.44
1019,Honoo no Mirage,7357,6.48
1216,Boku wa Konomama Kaeranai,12776,5.4
1217,Seikimatsu★Darling,8395,6.31
1637,Kaze to Ki no Uta Sanctus: Sei Naru Kana,5190,6.85
1640,Angel's Feather,12761,5.41
1908,Lesson XX,10249,5.98
1912,Marginal Prince: Gekkeiju no Ouji-tachi,11290,5.79
2179,Tokimeki Memorial: Forever With You,9972,6.04
2219,Ryokunohara Labyrinth: Sparkling Phantom,13742,4.89
7058,Uragiri wa Boku no Namae wo Shitteiru,3501,7.19
10564,Korogashi Ryouta,,5.23
12695,Tight-rope,4626,6.97
31680,Super Lovers,5959,6.71
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,85,8.64
33654,Hitorijime My Hero,3176,7.25
35798,Meitantei Conan Movie 22: Zero no Shikkounin,970,7.85
37207,Zuori Qing Kong,5529,6.79
37208,Mo Dao Zu Shi,170,8.46
37597,Dakaretai Otoko 1-i ni Odosarete Imasu.,2704,7.34
39764,Meitantei Conan Movie 24: Hiiro no Dangan,1151,7.77
41094,Xian Wang de Richang Shenghuo,2834,7.32
49320,Meitantei Conan Movie 25: Halloween no Hanayome,620,8.05
49665,Blue Thermal,5560,6.78
51549,Xue Yu Xin,6154,6.68
53540,Meitantei Conan Movie 26: Kurogane no Submarine,252,8.35
55255,Alien Stage,,8.73
56165,Boukyaku Battery (TV),1942,7.52
56785,Meitantei Conan Movie 27: 100-man Dollar no Michishirube,847,7.91
58717,Garouden: The Way of the Lone Wolf,7532,6.46
58957,9: Ruler's Crown,11516,5.74
60130,"Muchuu sa, Kimi ni.",5015,6.89
60131,Karaoke Iko!,1434,7.67
60562,Bai Yao Pu 5th Season,19878,
60593,Vigilante: Boku no Hero Academia Illegals,1587,7.61
59277,"Kanojo, Okarishimasu 4th Season",9410,6.14
59459,Silent Witch: Chinmoku no Majo no Kakushigoto,641,8.04
548,Wonderful Days,4566,6.98
2596,Shinreigari,2477,7.39
690,Kyuuketsuhime Miyu (TV),3894,7.12
812,Chikyuu Shoujo Arjuna,5703,6.76
1482,D.Gray-man,695,8
58197,Nyaight of the Living Cat,9172,6.18
1377,Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,6135,6.69
907,Princess Princess,4621,6.97
1765,Vampire Sensou,13977,4.65
6787,Goulart Knights: Evoked the Beginning Black,11836,5.67
7598,Loups=Garous,8893,6.23
10191,Katte ni Kaizou,5189,6.85
15045,Litchi DE Hikari Club,13318,5.19
20889,Kuro no Su: Chronus,5640,6.77
37904,Meshinuma.,18349,
43692,Gokushufudou,3108,7.26
59986,Grand Blue Season 2,72,8.67
22043,Fairy Tail (2014),1456,7.66
56693,Watari-kun no xx ga Houkai Sunzen,8686,6.26
59402,Kakkou no Iinazuke Season 2,5417,6.81
59689,Game Center Shoujo to Ibunka Kouryuu,6252,6.67
59130,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,5254,6.84
59424,"Yuusha Party wo Tsuihou sareta Shiromadoushi, S-Rank Boukensha ni Hirowareru: Kono Shiromadoushi ga Kikakugai Sugiru",8866,6.23
60665,Futari Solo Camp,7057,6.53
60951,Kizetsu Yuusha to Ansatsu Hime,8574,6.28
60557,Fanren Xiu Xian Chuan: Waihai Fengyun,411,8.2
2076,Kindaichi Shounen no Jikenbo,782,7.94
14753,Hori-san to Miyamura-kun,2369,7.42
23301,Pokemon XY: Mega Evolution,2330,7.42
30370,Akatsuki no Yona OVA,539,8.1
39730,Houkago Teibou Nisshi,2252,7.44
60108,One Piece: Gyojin Tou-hen,848,7.91
51836,Douluo Dalu II: Jueshi Tangmen,630,8.04
10033,Toriko,1986,7.51
