USER_ID,ANIME ID,USER RANK
26,38480,84
26,38909,85
26,38924,86
26,39063,87
26,39324,88
26,48553,89
26,56923,90
26,36492,91
26,37614,92
26,37998,93
26,38297,94
26,38349,95
26,38814,96
26,52308,97
26,53516,98
26,4720,99
26,22319,100
29,527,1
29,1470,2
29,235,3
29,237,4
29,813,5
29,49778,6
29,50694,7
29,53065,8
29,53512,9
29,53865,10
29,56038,11
29,56653,12
29,56662,13
29,58390,14
29,58812,15
29,59177,16
29,59207,17
29,59342,18
29,59597,19
29,59619,20
29,59632,21
29,59689,22
29,59845,23
29,59898,24
29,59986,25
29,60285,26
29,60334,27
29,60489,28
29,60543,29
29,60665,30
25,21,1
25,5114,2
25,8676,3
25,23327,4
25,51122,5
25,53065,6
25,53447,7
25,58913,8
25,59205,9
25,59791,10
25,59986,11
25,60543,12
32,966,1
32,47405,2
32,269,3
32,52741,4
32,53065,5
32,56038,6
32,58811,7
32,59277,8
32,59597,9
32,59845,10
32,59898,11
32,60543,12
32,60593,13
32,61322,14
30,59192,1
30,19,2
30,21,3
30,60285,4
30,20,5
30,269,6
30,589,7
30,1604,8
30,2369,9
30,12967,10
30,13601,11
30,34572,12
30,37345,13
30,37447,14
30,37520,15
30,39030,16
30,40834,17
30,53065,18
30,53397,19
30,56693,20
30,57907,21
30,58197,22
30,58390,23
30,58811,24
30,58812,25
30,58913,26
30,59062,27
30,59095,28
30,59177,29
30,59205,30
30,59277,31
30,59342,32
30,59632,33
30,60260,34
30,60401,35
30,60543,36
30,61322,37
30,159,38
30,195,39
30,245,40
30,246,41
30,392,42
30,916,43
30,935,44
30,1559,45
30,2025,46
30,2104,47
30,2251,48
30,3588,49
30,4898,50
30,6758,51
30,7662,52
30,8425,53
30,8525,54
30,9253,55
30,11757,56
30,16890,57
30,18153,58
30,18897,59
30,24439,60
30,24833,61
30,28677,62
30,29589,63
30,29854,64
30,30016,65
30,31798,66
30,32262,67
30,32901,68
30,34451,69
30,34599,70
30,36037,71
30,37430,72
30,37487,73
30,37601,74
30,38573,75
30,39017,76
30,39539,77
30,41899,78
30,49778,79
30,56700,80
30,59161,81
30,59207,82
30,59459,83
30,59597,84
30,59619,85
30,59791,86
30,60523,87
30,60651,88
30,60697,89
30,60951,90
30,37451,91
30,59130,92
30,60315,93
30,60732,94
33,73,1
33,58714,2
33,71,3
33,32887,4
33,48418,5
33,50694,6
33,53434,7
33,55129,8
33,55813,9
33,55830,10
33,56700,11
33,58131,12
33,49778,13
33,52701,14
33,52816,15
33,53421,16
33,53730,17
33,53865,18
33,54794,19
33,55071,20
33,55774,21
33,55842,22
33,55995,23
33,55997,24
33,56845,25
33,56907,26
33,57192,27
33,57334,28
33,57524,29
